filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
cho21.png,877384,{},11,0,"{""name"":""cell"",""cx"":298,""cy"":312,""r"":26.639}",{}
cho21.png,877384,{},11,1,"{""name"":""cell"",""cx"":556,""cy"":209,""r"":28.023}",{}
cho21.png,877384,{},11,2,"{""name"":""cell"",""cx"":674,""cy"":105,""r"":28.908}",{}
cho21.png,877384,{},11,3,"{""name"":""cell"",""cx"":219,""cy"":499,""r"":25.322}",{}
cho21.png,877384,{},11,4,"{""name"":""cell"",""cx"":319,""cy"":520,""r"":32.432}",{}
cho21.png,877384,{},11,5,"{""name"":""cell"",""cx"":201,""cy"":630,""r"":25.463}",{}
cho21.png,877384,{},11,6,"{""name"":""cell"",""cx"":1256,""cy"":523,""r"":33.631}",{}
cho21.png,877384,{},11,7,"{""name"":""cell"",""cx"":964,""cy"":597,""r"":20.441}",{}
cho21.png,877384,{},11,8,"{""name"":""cell"",""cx"":949,""cy"":649,""r"":27.174}",{}
cho21.png,877384,{},11,9,"{""name"":""cell"",""cx"":1124,""cy"":787,""r"":25.534}",{}
cho21.png,877384,{},11,10,"{""name"":""cell"",""cx"":1099,""cy"":733,""rx"":20.441,""ry"":18.979,""theta"":1.19}",{}
